JAAR;PLAATS;Amsterdam Code,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Groningen;10426,
1903;Rotterdam;10345,
1904;Dordrecht;11157,
1904;Sappemeer;10080,
1904;Winschoten;10453,
1904;Vledderveen;11120,
1904;Emmer-Compascuum;11180,
1904;Amsterdam;11150,
1904;Oude Pekela;10848,
1890;Groningen;10426,
1890;IJmuiden;10620,
1890;Drachten;10405,
1890;Enschede;10364,
1890;Exloärveen;11320,
1890;Hoogeveen;10839,
1890;Midwolda;10356,
1890;Nieuw Amsterdam;11180,
1890;Oranjedorp;11180,
1890;Roswinkel;11180,
1890;Schoonoord;10489,
1890;Valthermond;11320,
1890;Weerdinge;11180,
1890;Weerdingermond;11249,
1890;Nieuw-Buinen;10448,
1890;Oosterhesselen;10383,
1890;Zwinderen;10490,
1890;Breda;10154,
1890;Valkenswaard;11031,
1890;Enschede;10364,
1890;Enschede;10364,
1890;Exloärveen;11320,
1890;Musselkanaal;10610,
1890;Stadskanaal;10825,
1890;Valthermond;11320,
1890;Nieuw-Buinen;10448,
1890;Oss;10834,
1902;Leeuwarden;11228,
1902;Meerssen;10494,
1902;Rotterdam;10345,
1902;Utrecht;10722,
1902;Amsterdam;11150,
1902;Noordwolde;10425,
1902;Tiel;10027,
1902;Renkum;11325,
1902;Haarlem;10357,
1902;Amsterdam;11150,
1902;Haarlem;10357,
1902;Emmer-Compascuum;11180,
1902;Amsterdam;11150,
1902;Steenwijk;10546,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Beerta;11043,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Lonneker;10364,
1902;Amsterdam;11150,
1902;Amersfoort;10948,
1902;Amersfoort;10948,
1896;Winschoten;10453,
1896;Winschoten;10453,
1896;Amsterdam;11150,
1896;Beerta;11043,
1896;Amsterdam;11150,
1896;'s-Gravenhage;11434,
1896;Tzummarum;10156,
1896;Amsterdam;11150,
1896;Leeuwarden;11228,
1896;Leeuwarden;11228,
1896;Amsterdam;11150,
1896;Amsterdam;11150,
1896;Arnhem;10795,
1896;Schiedam;11260,
1896;Amsterdam;11150,
1896;Terwispel;10005,
1896;Almelo;11053,
1896;Almelo;11053,
1896;Amsterdam;11150,
1903;Meppel;11204,
1903;Rotterdam;10345,
1903;Rotterdam;10345,
1903;Veenendaal;11052,
1903;Leeuwarden;11228,
1903;Amsterdam;11150,
1903;Bergeyk;11160,
1903;Nieuw-Buinen;10448,
1903;Amsterdam;11150,
1905;'s-Gravenhage;11434,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1901;Amsterdam;11150,
1901;Amsterdam;11150,
1901;Amsterdam;11150,
